PlayerName,Post,Age,MarketValue,Nationality,Left,Current_team,Fee
Kylian Mbappé,Centre-Forward,25,180.00m,France,Paris Saint-Germain,Real Madrid,free transfer
Victor Osimhen,Centre-Forward,25,100.00m,Nigeria,SSC Napoli,Galatasaray,loan transfer
Julián Alvarez,Centre-Forward,24,90.00m,Argentina,Manchester City,Atlético de Madrid,75.00m
Khvicha Kvaratskhelia,Left Winger,23,85.00m,Georgia,SSC Napoli,Paris Saint-Germain,70.00m
Xavi Simons,Attacking Midfield,21,80.00m,Netherlands,Paris Saint-Germain,RB Leipzig,50.00m
Jhon Durán,Centre-Forward,21,40.00m,Colombia,Aston Villa,Al-Nassr FC,0
Omar Marmoush,Centre-Forward,25,60.00m,Egypt,Eintracht Frankfurt,Manchester City,0
Douglas Luiz,Central Midfield,26,70.00m,Brazil,Aston Villa,Juventus FC,51.50m
Matthijs de Ligt,Centre-Back,25,65.00m,Netherlands,Bayern Munich,Manchester United,45.00m
Dominic Solanke,Centre-Forward,26,40.00m,England,AFC Bournemouth,Tottenham Hotspur,0
Leny Yoro,Centre-Back,18,50.00m,France,LOSC Lille,Manchester United,0
Nico González,Central Midfield,23,18.00m,Spain,FC Porto,Manchester City,0
Pedro Neto,Right Winger,24,55.00m,Portugal,Wolverhampton Wanderers,Chelsea FC,0
Moussa Diaby,Right Winger,25,55.00m,France,Aston Villa,Al-Ittihad Club,0
Dani Olmo,Attacking Midfield,26,60.00m,Spain,RB Leipzig,FC Barcelona,55.00m
Endrick,Centre-Forward,18,60.00m,Brazil,Sociedade Esportiva Palmeiras,Real Madrid,47.50m
João Neves,Defensive Midfield,19,55.00m,Portugal,SL Benfica,Paris Saint-Germain,0
Amadou Onana,Defensive Midfield,22,50.00m,Belgium,Everton FC,Aston Villa,0
Teun Koopmeiners,Attacking Midfield,26,50.00m,Netherlands,Atalanta BC,Juventus FC,0
Michael Olise,Right Winger,22,55.00m,France,Crystal Palace,Bayern Munich,53.00m
João Palhinha,Defensive Midfield,29,55.00m,Portugal,Fulham FC,Bayern Munich,51.00m
Marcus Rashford,Left Winger,27,55.00m,England,Manchester United,Aston Villa,loan transfer
João Félix,Second Striker,24,30.00m,Portugal,Atlético de Madrid,Chelsea FC,0
Désiré Doué,Right Winger,19,30.00m,France,Stade Rennais FC,Paris Saint-Germain,0
Manuel Ugarte,Defensive Midfield,23,45.00m,Uruguay,Paris Saint-Germain,Manchester United,0
Galeno,Left Winger,27,27.00m,Brazil,FC Porto,Al-Ahli SFC,0
Joshua Zirkzee,Centre-Forward,23,50.00m,Netherlands,Bologna FC 1909,Manchester United,42.50m
Conor Gallagher,Central Midfield,24,50.00m,England,Chelsea FC,Atlético de Madrid,42.00m
Ivan Toney,Centre-Forward,28,50.00m,England,Brentford FC,Al-Ahli SFC,42.00m
Mikel Merino,Central Midfield,28,50.00m,Spain,Real Sociedad,Arsenal FC,32.00m
Savinho,Right Winger,20,50.00m,Brazil,ESTAC Troyes,Manchester City,25.00m
Maximilian Kilman,Centre-Back,27,32.00m,England,Wolverhampton Wanderers,West Ham United,0
Georginio Rutter,Centre-Forward,22,18.00m,France,Leeds United,Brighton & Hove Albion,0
Riccardo Calafiori,Left-Back,22,45.00m,Italy,Bologna FC 1909,Arsenal FC,0
Giorgi Mamardashvili,Goalkeeper,23,45.00m,Georgia,Valencia CF,Liverpool FC,30.00m
Giorgi Mamardashvili,Goalkeeper,23,45.00m,Georgia,Liverpool FC,Valencia CF,loan transfer
Ian Maatsen,Left-Back,22,40.00m,Netherlands,Chelsea FC,Aston Villa,0
Archie Gray,Centre-Back,18,18.00m,England,Leeds United,Tottenham Hotspur,0
Elliot Anderson,Central Midfield,21,15.00m,England,Newcastle United,Nottingham Forest,0
Abdukodir Khusanov,Centre-Back,20,12.00m,Uzbekistan,RC Lens,Manchester City,0
Willian Pacho,Centre-Back,22,35.00m,Ecuador,Eintracht Frankfurt,Paris Saint-Germain,0
Marcos Leonardo,Centre-Forward,21,25.00m,Brazil,SL Benfica,Al-Hilal SFC,0
Robin Le Normand,Centre-Back,27,40.00m,Spain,Real Sociedad,Atlético de Madrid,34.50m
Serhou Guirassy,Centre-Forward,28,40.00m,Guinea,VfB Stuttgart,Borussia Dortmund,18.00m
Evan Ferguson,Centre-Forward,20,40.00m,Ireland,Brighton & Hove Albion,West Ham United,loan transfer
Vitor Reis,Centre-Back,19,14.00m,Brazil,Sociedade Esportiva Palmeiras,Manchester City,0
Evanilson,Centre-Forward,24,35.00m,Brazil,FC Porto,AFC Bournemouth,0
Santiago Gimenez,Centre-Forward,23,37.00m,Mexico,Feyenoord Rotterdam,AC Milan,32.00m
Kiernan Dewsbury-Hall,Central Midfield,25,30.00m,England,Leicester City,Chelsea FC,0
Yankuba Minteh,Right Winger,19,16.00m,The Gambia,Newcastle United,Brighton & Hove Albion,0
Alessandro Buongiorno,Centre-Back,25,35.00m,Italy,Torino FC,SSC Napoli,0
Mohamed Simakan,Centre-Back,24,35.00m,France,RB Leipzig,Al-Nassr FC,0
David Raya,Goalkeeper,28,35.00m,Spain,Brentford FC,Arsenal FC,31.90m
Davide Frattesi,Central Midfield,24,35.00m,Italy,US Sassuolo,Inter Milan,31.40m
Artem Dovbyk,Centre-Forward,27,35.00m,Ukraine,Girona FC,AS Roma,30.50m
Joachim Andersen,Centre-Back,28,35.00m,Denmark,Crystal Palace,Fulham FC,29.50m
