Name,Age,Position,Player Nationality,Market Value,Left,LeagueLefted,Joined,LeagueJoined,Fee
Kylian Mbappé,25,Centre-Forward,France,180.0,Paris SG,Ligue 1,Real Madrid,LaLiga,
Victor Osimhen,25,Centre-Forward,Nigeria,100.0,Napoli,Serie A,Galatasaray,Süper Lig,
Julián Alvarez,24,Centre-Forward,Argentina,90.0,Man City,Premier League,Atlético Madrid,LaLiga,75.0
Khvicha Kvaratskhelia,23,Left Winger,Georgia,85.0,Napoli,Serie A,Paris SG,Ligue 1,70.0
Xavi Simons,21,Attacking Midfield,Netherlands,80.0,Paris SG,Ligue 1,RB Leipzig,Bundesliga,50.0
Jhon Durán,21,Centre-Forward,Colombia,40.0,Aston Villa,Premier League,Al-Nassr,Saudi Pro League,77.0
Omar Marmoush,25,Centre-Forward,Egypt,60.0,E. Frankfurt,Bundesliga,Man City,Premier League,75.0
Douglas Luiz,26,Central Midfield,Brazil,70.0,Aston Villa,Premier League,Juventus,Serie A,51.5
Matthijs de Ligt,25,Centre-Back,Netherlands,65.0,Bayern Munich,Bundesliga,Man Utd,Premier League,45.0
Dominic Solanke,26,Centre-Forward,England,40.0,Bournemouth,Premier League,Tottenham,Premier League,64.3
Leny Yoro,18,Centre-Back,France,50.0,LOSC Lille,Ligue 1,Man Utd,Premier League,62.0
Nico González,23,Central Midfield,Spain,18.0,FC Porto,Liga Portugal,Man City,Premier League,60.0
Pedro Neto,24,Right Winger,Portugal,55.0,Wolves,Premier League,Chelsea,Premier League,60.0
Moussa Diaby,25,Right Winger,France,55.0,Aston Villa,Premier League,Al-Ittihad,Saudi Pro League,60.0
Dani Olmo,26,Attacking Midfield,Spain,60.0,RB Leipzig,Bundesliga,Barcelona,LaLiga,55.0
Endrick,18,Centre-Forward,Brazil,60.0,Palmeiras,Série A,Real Madrid,LaLiga,47.5
João Neves,19,Defensive Midfield,Portugal,55.0,Benfica,Liga Portugal,Paris SG,Ligue 1,59.92
